"seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"chr1",55021777,55022716,940,"*","Distal Intergenic",1,55039445,55064852,25408,1,"255738","ENST00000713785.1",-16729,"ENSG00000169174","PCSK9","proprotein convertase subtilisin/kexin type 9"
"chr1",55032351,55033118,768,"*","Distal Intergenic",1,55039445,55064852,25408,1,"255738","ENST00000713785.1",-6327,"ENSG00000169174","PCSK9","proprotein convertase subtilisin/kexin type 9"
"chr1",55033282,55034020,739,"*","Distal Intergenic",1,55039445,55064852,25408,1,"255738","ENST00000713785.1",-5425,"ENSG00000169174","PCSK9","proprotein convertase subtilisin/kexin type 9"
"chr1",55035903,55036204,302,"*","Distal Intergenic",1,55039445,55064852,25408,1,"255738","ENST00000713785.1",-3241,"ENSG00000169174","PCSK9","proprotein convertase subtilisin/kexin type 9"
"chr1",55039099,55040395,1297,"*","Promoter (<=1kb)",1,55039445,55064852,25408,1,"255738","ENST00000713785.1",0,"ENSG00000169174","PCSK9","proprotein convertase subtilisin/kexin type 9"
"chr1",55044726,55044960,235,"*","Promoter (<=1kb)",1,55043966,55047332,3367,1,"255738","ENST00000673662.1",760,"ENSG00000169174","PCSK9","proprotein convertase subtilisin/kexin type 9"
"chr1",55049897,55050260,364,"*","Promoter (<=1kb)",1,55050934,55064850,13917,1,"255738","ENST00000490692.1",-674,"ENSG00000169174","PCSK9","proprotein convertase subtilisin/kexin type 9"
"chr1",55052614,55054118,1505,"*","Promoter (1-2kb)",1,55050934,55064850,13917,1,"255738","ENST00000490692.1",1680,"ENSG00000169174","PCSK9","proprotein convertase subtilisin/kexin type 9"
"chr1",55055538,55055745,208,"*","Intron (ENST00000713785.1/255738, intron 3 of 9)",1,55050934,55064850,13917,1,"255738","ENST00000490692.1",4604,"ENSG00000169174","PCSK9","proprotein convertase subtilisin/kexin type 9"
"chr1",62585454,62586064,611,"*","Intron (ENST00000251157.10/85440, intron 15 of 49)",1,62597520,62606313,8794,1,"27329","ENST00000371129.4",-11456,"ENSG00000132855","ANGPTL3","angiopoietin like 3"
"chr1",62593847,62594324,478,"*","Intron (ENST00000251157.10/85440, intron 14 of 49)",1,62597520,62606313,8794,1,"27329","ENST00000371129.4",-3196,"ENSG00000132855","ANGPTL3","angiopoietin like 3"
"chr1",62597282,62597789,508,"*","Promoter (<=1kb)",1,62597520,62606313,8794,1,"27329","ENST00000371129.4",0,"ENSG00000132855","ANGPTL3","angiopoietin like 3"
"chr1",62598863,62599519,657,"*","Promoter (1-2kb)",1,62597520,62606313,8794,1,"27329","ENST00000371129.4",1343,"ENSG00000132855","ANGPTL3","angiopoietin like 3"
"chr1",62606919,62607281,363,"*","Intron (ENST00000251157.10/85440, intron 14 of 49)",1,62602320,62604658,2339,1,"27329","ENST00000493994.1",4599,"ENSG00000132855","ANGPTL3","angiopoietin like 3"
"chr1",62608936,62609307,372,"*","Exon (ENST00000624477.1/ENST00000624477.1, exon 1 of 1)",1,62602320,62604658,2339,1,"27329","ENST00000493994.1",6616,"ENSG00000132855","ANGPTL3","angiopoietin like 3"
"chr1",109312996,109313737,742,"*","3' UTR",1,109313801,109316927,3127,2,"6272","ENST00000485149.1",3190,"ENSG00000134243","SORT1","sortilin 1"
"chr1",109335068,109335487,420,"*","Promoter (<=1kb)",1,109326806,109336302,9497,2,"6272","ENST00000466471.1",815,"ENSG00000134243","SORT1","sortilin 1"
